1,600146.762,6615537.198,135.277,
2,600146.750,6615537.195,135.279,
3,600146.792,6615537.200,135.282,
4,600146.786,6615537.205,135.288,
5,600146.806,6615537.206,135.281,
6,600146.780,6615537.166,135.284,
7,600146.770,6615537.174,135.281,
8,600146.770,6615537.169,135.289,
9,600146.769,6615537.167,135.284,
10,600146.786,6615537.168,135.281,
11,600146.781,6615537.183,135.279,
12,600146.783,6615537.171,135.277,
13,600146.785,6615537.184,135.273,
14,600146.778,6615537.185,135.271,
15,600146.776,6615537.178,135.262,
